iter	Passed	Remaining
430	1691	2232
431	1694	2228
432	1698	2223
433	1701	2218
434	1704	2214
435	1707	2209
436	1710	2204
437	1713	2199
438	1716	2194
439	1720	2189
440	1723	2184
441	1727	2180
442	1730	2175
443	1733	2170
444	1736	2166
445	1740	2161
446	1743	2157
447	1746	2152
448	1749	2147
449	1752	2142
450	1755	2137
451	1759	2132
452	1762	2127
453	1765	2123
454	1768	2118
455	1772	2114
456	1775	2109
457	1778	2104
458	1781	2099
459	1784	2095
460	1788	2090
461	1791	2086
462	1795	2081
463	1798	2077
464	1801	2072
465	1804	2068
466	1808	2063
467	1811	2058
468	1814	2054
469	1817	2049
470	1820	2044
471	1824	2040
472	1827	2036
473	1830	2031
474	1833	2026
475	1836	2022
476	1839	2017
477	1842	2012
478	1845	2007
479	1849	2003
480	1852	1998
481	1855	1994
482	1858	1989
483	1862	1985
484	1865	1980
485	1868	1975
486	1871	1971
487	1874	1967
488	1878	1962
489	1881	1958
490	1884	1953
491	1887	1948
492	1890	1944
493	1894	1940
494	1897	1935
495	1900	1930
496	1903	1926
497	1906	1921
498	1910	1917
499	1913	1913
500	1916	1909
501	1920	1904
502	1923	1900
503	1926	1895
504	1929	1891
505	1933	1887
506	1937	1883
507	1940	1879
508	1944	1875
509	1947	1871
510	1950	1866
511	1954	1862
512	1957	1858
513	1960	1853
514	1963	1849
515	1966	1844
516	1969	1840
517	1972	1835
518	1975	1831
519	1978	1826
520	1981	1822
521	1985	1817
522	1988	1813
523	1991	1809
524	1995	1805
525	1998	1800
526	2001	1796
527	2005	1792
528	2008	1788
529	2011	1783
530	2014	1779
531	2018	1775
532	2021	1771
533	2025	1767
534	2027	1762
535	2030	1758
536	2034	1753
537	2037	1749
538	2040	1745
539	2043	1741
540	2046	1736
541	2049	1732
542	2052	1727
543	2055	1723
544	2059	1719
545	2062	1714
546	2065	1710
547	2068	1705
548	2071	1701
549	2074	1697
550	2077	1692
551	2080	1688
552	2083	1684
553	2086	1679
554	2089	1675
555	2092	1671
556	2095	1667
557	2098	1662
558	2101	1658
559	2104	1653
560	2108	1649
561	2111	1645
562	2114	1641
563	2117	1636
564	2120	1632
565	2123	1628
566	2126	1624
567	2130	1620
568	2133	1615
569	2136	1611
570	2139	1607
571	2142	1603
572	2145	1598
573	2148	1594
574	2151	1590
575	2154	1586
576	2158	1582
577	2161	1577
578	2164	1573
579	2167	1569
580	2170	1565
581	2173	1561
582	2176	1557
583	2180	1552
584	2183	1548
585	2186	1544
586	2189	1540
587	2192	1536
588	2196	1532
589	2199	1528
590	2202	1524
591	2205	1520
592	2208	1515
593	2211	1511
594	2215	1507
595	2218	1503
596	2221	1499
597	2224	1495
598	2227	1491
599	2230	1486
600	2233	1482
601	2236	1478
602	2239	1474
603	2242	1470
604	2246	1466
605	2249	1462
606	2252	1458
607	2256	1454
608	2259	1450
609	2262	1446
610	2265	1442
611	2268	1438
612	2271	1434
613	2274	1429
614	2277	1425
615	2280	1421
616	2284	1418
617	2287	1414
618	2290	1409
619	2294	1406
620	2297	1402
621	2299	1397
622	2303	1393
623	2306	1389
624	2309	1385
625	2312	1381
626	2315	1377
627	2318	1373
628	2321	1369
629	2324	1365
630	2327	1361
631	2330	1357
632	2333	1352
633	2336	1348
634	2339	1344
635	2342	1340
636	2345	1336
637	2348	1332
638	2351	1328
639	2354	1324
640	2358	1320
641	2361	1316
642	2364	1312
643	2367	1308
644	2370	1304
645	2373	1300
646	2376	1296
647	2380	1293
648	2383	1289
649	2386	1285
650	2389	1281
651	2392	1277
652	2395	1273
653	2398	1269
654	2402	1265
655	2405	1261
656	2408	1257
657	2411	1253
658	2414	1249
659	2417	1245
660	2420	1241
661	2423	1237
662	2426	1233
663	2429	1229
664	2432	1225
665	2435	1221
666	2439	1217
667	2442	1213
668	2445	1209
669	2447	1205
670	2450	1201
671	2453	1197
672	2457	1193
673	2460	1189
674	2463	1185
675	2466	1182
676	2469	1178
677	2472	1174
678	2475	1170
679	2478	1166
680	2481	1162
681	2484	1158
682	2487	1154
683	2490	1150
684	2494	1147
685	2497	1143
686	2501	1139
687	2504	1135
688	2507	1131
689	2510	1128
690	2513	1124
691	2517	1120
692	2520	1116
693	2523	1112
694	2526	1108
695	2529	1104
696	2531	1100
697	2535	1096
698	2537	1092
699	2540	1088
700	2544	1085
701	2546	1081
702	2550	1077
703	2553	1073
704	2556	1069
705	2559	1065
706	2562	1061
707	2565	1058
708	2568	1054
709	2571	1050
710	2574	1046
711	2577	1042
712	2580	1038
713	2583	1034
714	2586	1031
715	2589	1027
716	2593	1023
717	2596	1019
718	2599	1015
719	2602	1012
720	2605	1008
721	2609	1004
722	2612	1000
723	2615	997
724	2618	993
725	2621	989
726	2624	985
727	2627	981
728	2630	978
729	2633	974
730	2636	970
731	2639	966
732	2642	962
733	2645	958
734	2649	955
735	2652	951
736	2655	947
737	2658	943
738	2661	939
739	2664	936
740	2667	932
741	2670	928
742	2673	924
743	2676	921
744	2679	917
745	2682	913
746	2685	909
747	2688	905
748	2691	902
749	2695	898
750	2698	894
751	2701	890
752	2704	887
753	2708	883
754	2711	879
755	2714	876
756	2717	872
757	2721	868
758	2724	865
759	2727	861
760	2730	857
761	2733	853
762	2736	850
763	2739	846
764	2743	842
765	2746	839
766	2749	835
767	2753	831
768	2756	827
769	2759	824
770	2763	820
771	2766	816
772	2769	813
773	2773	809
774	2777	806
775	2780	802
776	2784	799
777	2788	795
778	2791	791
779	2795	788
780	2799	784
781	2802	781
782	2806	777
783	2810	774
784	2814	770
785	2818	767
786	2822	763
787	2826	760
788	2830	756
789	2834	753
790	2838	749
791	2842	746
792	2846	742
793	2850	739
794	2854	735
795	2857	732
796	2861	728
797	2865	725
798	2868	721
799	2872	718
800	2876	714
801	2880	711
802	2883	707
803	2887	703
804	2891	700
805	2895	696
806	2899	693
807	2903	689
808	2906	686
809	2910	682
810	2914	679
811	2918	675
812	2922	672
813	2926	668
814	2930	665
815	2934	661
816	2938	658
817	2942	654
818	2946	651
819	2949	647
820	2953	643
821	2957	640
822	2961	636
823	2965	633
824	2968	629
825	2972	626
826	2976	622
827	2980	619
828	2983	615
829	2987	611
830	2990	608
831	2994	604
832	2998	601
833	3002	597
834	3006	594
835	3009	590
836	3012	586
837	3015	582
838	3018	579
839	3021	575
840	3024	571
841	3027	568
842	3030	564
843	3033	560
844	3036	556
845	3039	553
846	3042	549
847	3045	545
848	3048	542
849	3051	538
850	3054	534
851	3057	531
852	3060	527
853	3063	523
854	3066	520
855	3069	516
856	3072	512
857	3075	509
858	3078	505
859	3081	501
860	3084	498
861	3088	494
862	3091	490
863	3094	487
864	3097	483
865	3100	479
866	3103	476
867	3106	472
868	3108	468
869	3111	465
870	3115	461
871	3118	457
872	3121	454
873	3124	450
874	3127	446
875	3131	443
876	3134	439
877	3137	435
878	3140	432
879	3143	428
880	3146	425
881	3149	421
882	3152	417
883	3155	414
884	3158	410
885	3161	406
886	3165	403
887	3168	399
888	3171	395
889	3174	392
890	3177	388
891	3180	385
892	3184	381
893	3187	377
894	3190	374
895	3193	370
896	3196	367
897	3199	363
898	3202	359
899	3205	356
900	3209	352
901	3212	349
902	3215	345
903	3218	341
904	3221	338
905	3224	334
906	3227	330
907	3230	327
908	3233	323
909	3236	320
910	3239	316
911	3242	312
912	3245	309
913	3248	305
914	3251	302
915	3254	298
916	3257	294
917	3260	291
918	3264	287
919	3267	284
920	3270	280
921	3273	276
922	3276	273
923	3279	269
924	3282	266
925	3286	262
926	3289	259
927	3292	255
928	3296	251
929	3299	248
930	3302	244
931	3305	241
932	3308	237
933	3312	234
934	3315	230
935	3318	226
936	3321	223
937	3324	219
938	3328	216
939	3331	212
940	3334	209
941	3338	205
942	3341	201
943	3345	198
944	3348	194
945	3351	191
946	3355	187
947	3359	184
948	3363	180
949	3366	177
950	3370	173
951	3374	170
952	3377	166
953	3381	163
954	3384	159
955	3387	155
956	3391	152
957	3394	148
958	3397	145
959	3400	141
960	3403	138
961	3406	134
962	3410	131
963	3413	127
964	3416	123
965	3419	120
966	3422	116
967	3425	113
968	3428	109
969	3431	106
970	3434	102
971	3438	99
972	3440	95
973	3444	91
974	3447	88
975	3450	84
976	3453	81
977	3455	77
978	3458	74
979	3462	70
980	3465	67
981	3468	63
982	3471	60
983	3473	56
984	3477	52
985	3480	49
986	3482	45
987	3486	42
988	3489	38
989	3492	35
990	3495	31
991	3498	28
992	3501	24
993	3504	21
994	3507	17
995	3510	14
996	3513	10
997	3516	7
998	3519	3
999	3522	0
