iter	Logloss
0	0.5750656378
1	0.4682488
2	0.3971383793
3	0.3327662956
4	0.2744003541
5	0.2482595885
6	0.2243363473
7	0.2080978435
8	0.1894657558
9	0.1769405155
10	0.1644522266
11	0.1527708859
12	0.138505545
13	0.1293125598
14	0.1223953364
15	0.1144184794
16	0.1061420849
17	0.09892308645
18	0.09458659121
19	0.09014792064
20	0.0862509928
21	0.08098384228
22	0.07672088878
23	0.07401915215
24	0.07095750922
25	0.06789646958
26	0.06471436958
27	0.06151547038
28	0.05873391071
29	0.05611770402
30	0.0532290444
31	0.04975194284
32	0.04762341036
33	0.04537664054
34	0.04336094025
35	0.04046972748
36	0.03857595827
37	0.03751857559
38	0.03615782801
39	0.03425371315
40	0.03309731413
41	0.03202883135
42	0.0309827097
43	0.02983418477
44	0.02847729457
45	0.02758472596
46	0.02637258896
47	0.02567401578
48	0.02470694394
49	0.02402511104
50	0.02343033156
51	0.02280934389
52	0.02223614508
53	0.021647272
54	0.02106866818
55	0.02056211725
56	0.01988864962
57	0.01937428239
58	0.01879292044
59	0.01841672239
60	0.01796171831
61	0.01748467395
62	0.01692465576
63	0.01649792645
64	0.01620149477
65	0.01580661365
66	0.01544707923
67	0.01508454379
68	0.01470166825
69	0.01446997219
70	0.01417462346
71	0.01382511592
72	0.0134612717
73	0.01318335612
74	0.01296441015
75	0.01268025569
76	0.01243841653
77	0.0121672451
78	0.01193930075
79	0.01178331862
80	0.01159662211
81	0.01146036964
82	0.01120804661
83	0.01104660389
84	0.0108239414
85	0.01065634777
86	0.01047073075
87	0.01037551478
88	0.01018743537
89	0.01008708815
90	0.009970522362
91	0.009766294374
92	0.009639179626
93	0.009528428746
94	0.009372762678
95	0.009262822586
96	0.009137630829
97	0.008994125991
98	0.008828013991
99	0.008739808082
100	0.008599668299
101	0.008468391159
102	0.008350327319
103	0.008230640846
104	0.008093884735
105	0.008018923389
106	0.007958098397
107	0.007883080312
108	0.007814243281
109	0.007732842258
110	0.007642992792
111	0.00752480534
112	0.007475473215
113	0.007350124572
114	0.007283725427
115	0.007191484566
116	0.007117967806
117	0.007050234142
118	0.006985077785
119	0.006897591639
120	0.006828848825
121	0.006779833028
122	0.006705908453
123	0.006649302615
124	0.006583290872
125	0.00650353932
126	0.006473311536
127	0.006424339129
128	0.006376289693
129	0.006330339249
130	0.006270452047
131	0.006210425325
132	0.006152533214
133	0.006096837207
134	0.006045300612
135	0.00599160106
136	0.005935190071
137	0.005887414119
138	0.00583703793
139	0.005796932289
140	0.00572919727
141	0.005679990838
142	0.00563207111
143	0.005582038816
144	0.005530437876
145	0.005486312387
146	0.005433494923
147	0.005391315639
148	0.005350459683
149	0.005299422468
150	0.005258847444
151	0.005225535602
152	0.005189266109
153	0.005156941265
154	0.005116688089
155	0.005078494173
156	0.005038796409
157	0.005015152536
158	0.004970120054
159	0.004941574204
160	0.004912728985
161	0.004881712315
162	0.004846865099
163	0.004811823025
164	0.004785322819
165	0.004755700642
166	0.004716192387
167	0.004680862679
168	0.00463745789
169	0.004612313256
170	0.004570247356
171	0.004543828175
172	0.00451911922
173	0.004494019697
174	0.00447015076
175	0.004446099419
176	0.004420862887
177	0.004397172286
178	0.004370878439
179	0.00434668334
180	0.004316518899
181	0.004289312589
182	0.004269484872
183	0.00424669778
184	0.004213951141
185	0.004193647982
186	0.004168829642
187	0.004143415662
188	0.004121170383
189	0.004106998941
190	0.004080850189
191	0.004056964337
192	0.004038154614
193	0.004017762518
194	0.003999229401
195	0.003975903302
196	0.003956186133
197	0.003936089168
198	0.003922615397
199	0.003898311318
