Close,High,Low,Open,Volume,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal,EMA_9,EMA_21,EMA_50,EMA_200,BB_upper,BB_middle,BB_lower,MACD_Hist,STOCH_K,STOCH_D,ATR,ROC_10,OBV,VWAP,ADX,CCI,WILLR_14,MOM_10,CMF,PSAR,Aroon_Up,Aroon_Down,Return,Target
20926.349609375,20950.0,20769.5,20929.75,260300.0,20940.080078125,20758.105078125,78.488020630079,384.5659247488693,316.59778067355074,20758.596541215175,20369.20069867871,19967.66701347683,18932.845297341417,21332.583523191726,20281.28740234375,19229.991281495775,67.96814407531855,59.649138420101394,74.18975321071296,156.47895472617432,4.128807938298795,8789100.0,18935.910026975613,43.97603927940852,59.29728767736267,-8.790095944003422,829.75,416311.5825771619,20703.45776540419,0.0,92.85714285714286,0.0009542158562574343,1
21182.69921875,21210.900390625,21074.44921875,21110.400390625,334400.0,20996.38984375,20863.0599609375,82.27174916561532,398.9538173783767,333.0689880145159,20843.417076722144,20443.15510959428,20015.31533525225,18955.231903524586,21439.057487173308,20356.64990234375,19274.242317514192,65.88482936386077,60.58874200043217,63.7620265267056,165.626942335019,5.213038236746703,9123500.0,18950.34631117445,45.133657678792325,92.387951252943,-1.9556295965218804,1049.548828125,432439.9913074118,20769.5,7.142857142857143,100.0,0.012250087289956912,1
21456.650390625,21492.30078125,21235.30078125,21287.44921875,508800.0,21093.83984375,20981.9349609375,85.25625592703666,427.53355531598936,351.9619014748106,20966.063739502715,20535.291044233436,20071.838278600197,18980.12163971464,21587.97157981538,20441.2224609375,19294.47334205962,75.57165384117877,82.3724623081079,67.53678090954713,175.9108437753748,5.865185722690147,9632300.0,18974.611435698487,46.69946856361264,124.07433935797322,-2.1066225945169874,1188.75,516701.96360331867,20769.5,0.0,100.0,0.012932779200891975,1
21418.650390625,21482.80078125,21365.349609375,21434.80078125,249700.0,21178.15,21055.119921875,83.16483463544087,442.02157158829505,369.9738354975075,21056.581069727177,20615.596439359942,20124.654439856073,19004.38560738539,21699.01974378475,20525.56494140625,19352.11013902775,72.04773609078757,92.82971221336642,78.59697217396881,171.73515292534802,3.5377611894359617,9382600.0,18986.169090350235,48.153435813802936,128.13421586142996,-4.7949473063151045,731.849609375,496860.6321094511,20914.06015625,0.0,92.85714285714286,-0.0017710126840955187,0
21453.099609375,21505.05078125,21337.75,21477.650390625,249800.0,21287.48984375,21114.919921875,83.558597356724,451.0833844473564,386.1957452874773,21135.884777656735,20691.733091179492,20176.750328856815,19028.75092083802,21788.175582300595,20613.519921875,19438.8642614494,64.88763915987909,92.60508850655523,89.26908767600982,171.4184120913946,2.8674041898662628,9632400.0,18997.78471792838,49.27379247923629,128.10253286256767,-3.488526120993454,598.0,473694.1184428521,21029.70828125,0.0,100.0,0.0016083748565725031,1
21150.150390625,21593.0,21087.349609375,21543.5,363900.0,21332.25,21136.1650390625,68.40601522215708,428.8756547420926,394.7317271784003,21138.73790025039,20733.407391129083,20214.922880298705,19049.859373273714,21813.630645498193,20681.857421875,19550.084198251807,34.14392756369227,65.78204189695347,83.73894753895834,195.29212484379497,1.014682509550746,9268500.0,19012.44771285119,48.461119021876165,77.04084684865283,-31.42335655148137,212.451171875,334128.31900302926,21593.0,0.0,100.0,-0.01412146609423337,0
21255.05078125,21288.349609375,20976.80078125,21033.94921875,277500.0,21346.7203125,21171.555078125,70.40714098262723,414.95708679219024,398.7767991011583,21162.000476450314,20780.829517503713,20255.712209747777,19071.801576338155,21837.719349143783,20754.01748046875,19670.31561179371,16.180287691031936,50.897186740054146,69.76143904785424,203.5961750781667,1.693210105716192,9546000.0,19024.037878446616,47.01689741122125,35.14572026091774,-31.14021826768026,353.900390625,316079.0583008062,21593.0,0.0,92.85714285714286,0.004959794076523361,1
21349.400390625,21390.5,21232.44921875,21295.849609375,284700.0,21325.2703125,21209.555078125,72.11773041396673,406.8498347383684,400.3914062286003,21199.480459285252,20832.51777869656,20298.6019423312,19094.46425110718,21851.237472200766,20831.3875,19811.537527799235,6.458428509768055,40.07394939845872,52.2510593451554,200.3429326618691,1.8121643581658688,9830700.0,19036.30254408727,46.00967066259774,70.91659957430399,-27.623713475095627,380.0,323434.92108306894,21593.0,0.0,85.71428571428572,0.004438926556610712,1
21441.349609375,21477.150390625,21329.44921875,21365.19921875,219500.0,21329.81015625,21253.980078125,73.71250976630344,403.1965141436267,400.9524278116056,21247.854289303203,20887.86612694005,20343.41557633292,19117.816344224273,21847.767998591757,20913.72001953125,19979.672040470745,2.244086332021084,60.33754471823027,50.436226952247665,196.58280689137845,2.115768407373974,10050200.0,19046.042864445335,45.343479403850566,89.69998102748832,-18.415347981177906,444.25,333024.8745523216,21568.35203125,0.0,78.57142857142857,0.004306875934107168,1
21654.75,21675.75,21495.80078125,21497.650390625,256500.0,21370.140234375,21328.8150390625,77.00044838621719,412.7627868426898,403.3144996178224,21329.23343144256,20957.582842672775,20394.84045569241,19143.059465177263,21863.01434090599,21001.97255859375,20140.930776281508,9.448287224867386,77.61742440394796,59.34297284021227,199.2840628723514,3.5795239514812893,10306700.0,19058.330754751772,45.27544688818245,130.4207756164695,-2.317241379310345,748.349609375,369238.1293434752,20976.80078125,35.714285714285715,100.0,0.0099527499207277,1
