INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
,ASTRAL,25-Jul-24,0.0,XX,2136.25,2141.25,1952.85,2029.0,2029.0,144,1089.2,40370,3303,4-Jun-24,2527.01,1416.175,44.338939657143214,-1697.5168845132812,-2425.2812096954176
,ASTRAL,29-Aug-24,0.0,XX,0.0,0.0,0.0,2140.1,2046.95,0,0.0,0,0,4-Jun-24,2386.7000000000003,1585.17,44.65601820469477,-1565.525627535786,-2253.330093263491
,ATUL,27-Jun-24,0.0,XX,5772.9,5772.95,5205.05,5501.4,5501.4,2147,8926.53,482475,-22500,4-Jun-24,2914.5000000000005,2090.505,53.32011107189326,-1176.1350344333523,-2037.8910814974633
,ATUL,25-Jul-24,0.0,XX,5796.45,5796.5,5219.85,5521.8,5521.8,130,717.27,28800,1300,4-Jun-24,3442.7100000000005,2621.87,53.367825084778396,-856.0263357413219,-1801.518132346235
,ATUL,29-Aug-24,0.0,XX,5743.5,5743.5,5300.0,5510.05,5510.05,80,431.9,4600,-5800,4-Jun-24,4140.47,3151.9350000000004,53.33400982340479,-596.4109582960978,-1560.4966975362076
,AUBANK,27-Jun-24,0.0,XX,647.95,648.0,597.4,623.05,623.05,14046,87364.64,22136000,-115000,4-Jun-24,3859.28,3193.145,41.543650176876376,-776.0580448185447,-1403.608966992675
,AUBANK,25-Jul-24,0.0,XX,628.95,632.55,593.6,619.25,619.25,1032,6371.55,904000,114000,4-Jun-24,3555.1100000000006,2970.9049999999997,41.535961120920426,-908.2663542612763,-1304.5404444463952
,AUBANK,29-Aug-24,0.0,XX,626.0,628.0,591.0,618.8,618.8,35,212.92,82000,7000,4-Jun-24,2578.5900000000006,2746.545,41.534980737444414,-1001.5336467960515,-1243.9390849163265
,AUROPHARMA,27-Jun-24,0.0,XX,1238.1,1238.15,1115.0,1201.45,1201.45,7913,52036.19,11958650,-439450,4-Jun-24,1714.5200000000004,2578.615,43.397859094255224,-1016.7136207558206,-1198.4939920842253
,AUROPHARMA,25-Jul-24,0.0,XX,1237.05,1243.5,1125.6,1210.65,1210.65,231,1537.3,80300,-3300,4-Jun-24,854.6400000000003,2497.5550000000003,43.42851052655436,-1016.2863796045763,-1162.0524695882955
