Price,Close,High,Low,Open,Volume,SMA_5,SMA_10,RSI_14,MACD,MACD_Signal
2023-07-14,19564.5,19595.349609375,19433.5,19493.44921875,291200.0,19431.5703125,19409.700390625,72.50797889473951,242.9457332077327,228.5922732393179
2023-07-17,19711.44921875,19731.849609375,19562.94921875,19612.150390625,268700.0,19502.680078125,19448.590234375,75.68292730479898,256.48628974313397,234.17107654008112
2023-07-18,19749.25,19819.44921875,19690.19921875,19787.5,286400.0,19564.65,19484.615234375,76.43677382371452,267.1875141398923,240.77436406004335
2023-07-19,19833.150390625,19851.69921875,19727.44921875,19802.94921875,259700.0,19654.419921875,19528.0802734375,78.06235804495627,279.2197010061318,248.46343144926104
2023-07-20,19979.150390625,19991.849609375,19758.400390625,19831.69921875,274700.0,19767.5,19576.265234375,80.57386652015602,297.1113607901534,258.1930173174395
2023-07-21,19745.0,19887.400390625,19700.0,19800.44921875,312500.0,19803.6,19617.58515625,67.27217460230366,289.0644948640729,264.3673128267662
2023-07-24,19672.349609375,19782.75,19658.30078125,19748.44921875,265600.0,19795.780078125,19649.230078125,63.7553012213106,273.6703152440459,266.2279133102221
2023-07-25,19680.599609375,19729.349609375,19615.94921875,19729.349609375,369700.0,19782.05,19673.35,63.985550735205244,259.1487179321266,264.812074234603
2023-07-26,19778.30078125,19825.599609375,19716.69921875,19733.349609375,244700.0,19771.080078125,19712.75,66.68470897625784,252.61196203467262,262.37205179461694
2023-07-27,19659.900390625,19867.55078125,19603.55078125,19850.900390625,334900.0,19707.230078125,19737.3650390625,60.74331809211557,235.1667578824272,256.930993012179
2023-07-28,19646.05078125,19695.900390625,19563.099609375,19659.75,258700.0,19687.440234375,19745.5201171875,60.06912815412603,217.71408769468326,249.08761194867984
2023-07-31,19753.80078125,19772.75,19597.599609375,19666.349609375,295100.0,19703.73046875,19749.7552734375,63.46647416363056,210.1547126166006,241.301032082264
2023-08-01,19733.55078125,19795.599609375,19704.599609375,19784.0,298000.0,19714.320703125,19748.1853515625,62.39210615860015,200.22181518942307,233.0851887036958
2023-08-02,19526.55078125,19678.25,19423.55078125,19655.400390625,290700.0,19663.970703125,19717.525390625,52.5914749624797,173.64507999503257,221.19716696196315
2023-08-03,19381.650390625,19537.650390625,19296.44921875,19463.75,315700.0,19608.320703125,19657.775390625,47.02320226829431,139.28498473595027,204.81473051676056
2023-08-04,19517.0,19538.849609375,19436.44921875,19462.80078125,280800.0,19582.510546875,19634.975390625,52.1224827428574,121.57450874537608,188.16668616248367
2023-08-07,19597.30078125,19620.44921875,19524.80078125,19576.849609375,216600.0,19551.210546875,19627.4705078125,54.896329893758676,112.71907553344136,173.0771640366752
2023-08-08,19570.849609375,19634.400390625,19533.099609375,19627.19921875,260300.0,19518.6703125,19616.4955078125,53.790804370405546,102.38644519749869,158.9390202688399
